Millis,Roll,Pitch,Yaw,Altitude,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure
528,21.25,108.75,0.88,0.75,-6.85,-9.73,0.17,313.50,-64.19,102.06,10.69,27.37,8.06,836.06
827,-1.63,168.81,255.94,1.21,1.01,0.68,12.46,153.38,-103.06,-33.38,14.06,5.19,-38.88,836.02
1126,-21.62,-156.13,267.56,0.46,5.81,6.14,5.78,-84.37,-7.69,0.12,-2.50,-26.37,-38.69,836.03
1431,-15.44,-172.13,268.13,1.22,3.55,2.84,8.70,-92.00,73.87,0.94,1.19,-14.50,-43.25,835.99
1722,-1.75,171.88,270.19,1.22,0.73,0.37,10.40,-45.13,42.50,31.50,9.56,-1.50,-44.75,836.06
1978,2.44,168.56,270.88,1.08,0.49,-0.22,9.75,-45.31,2.94,2.81,14.75,1.69,-44.56,836.11
2185,2.81,164.75,270.38,0.76,-0.04,-0.20,9.50,4.88,8.81,-20.37,14.56,5.50,-43.38,835.96
2394,2.63,163.25,271.63,0.62,1.12,-0.60,10.93,-13.06,4.56,-3.50,14.25,6.38,-42.19,836.05
2600,3.88,164.06,271.25,0.62,0.67,-0.43,10.04,-30.31,-6.06,31.19,15.00,5.00,-42.56,836.03
2807,3.06,162.44,271.13,1.07,-0.52,-0.97,9.94,17.69,3.25,-3.63,13.50,7.19,-42.69,836.00
3014,2.94,162.13,272.88,0.17,0.49,-1.01,10.87,-23.56,-7.13,-13.56,13.56,7.19,-42.19,836.06
3223,3.00,162.00,272.31,0.49,0.38,-1.06,9.77,-15.81,-0.63,-0.56,12.06,6.75,-43.00,836.06
3430,2.81,161.69,273.44,0.94,0.71,-0.78,9.73,4.25,0.63,-11.06,12.75,6.75,-42.69,836.07
3637,2.63,160.88,273.75,1.40,1.22,-0.93,10.38,8.25,2.38,4.56,14.25,7.88,-42.69,835.97
3844,3.13,-6.56,42.25,0.95,0.80,-0.99,10.24,-7.06,-3.69,9.75,13.56,6.75,-41.88,836.06
4048,3.75,-5.69,42.13,1.09,0.63,-1.10,9.77,4.00,0.31,5.06,13.19,7.19,-43.38,835.95
4253,3.44,-6.88,41.81,1.56,0.56,-1.35,10.91,-7.81,5.69,0.56,12.06,6.75,-43.38,836.00
4464,-1.19,-7.38,41.63,0.65,-0.29,-1.38,9.64,-8.38,31.25,-1.94,17.19,8.19,-43.00,836.00
4667,-8.06,-12.44,41.06,1.09,-1.09,-1.69,10.75,-31.75,52.25,-9.31,20.19,12.38,-39.19,836.00
4874,-17.44,-15.13,42.63,0.65,-2.12,-1.60,9.49,10.50,46.94,23.87,30.69,13.00,-34.38,836.07
5083,-27.94,-18.81,47.19,0.94,-4.89,-2.86,8.59,-1.00,58.50,9.63,36.56,17.37,-28.75,836.07
5289,-35.06,-25.00,51.94,0.64,-6.26,-3.99,7.58,-59.94,38.50,-31.87,39.50,18.50,-23.56,836.04
5502,-40.88,-39.38,292.69,1.24,-6.52,-5.11,5.85,-23.94,43.25,-25.50,41.00,24.19,-12.38,836.06
5711,-44.31,-51.56,295.69,1.26,-6.60,-5.46,4.53,-18.19,59.50,-17.50,40.19,26.69,-5.38,836.06
5920,-44.25,-60.31,297.56,0.94,-6.27,-5.90,3.24,-46.88,0.31,5.69,39.69,28.06,0.88,836.03
6129,-42.50,-78.75,200.31,1.40,-7.19,-7.93,2.61,-61.00,7.94,-30.19,35.69,27.06,10.75,835.97
6338,-40.44,-86.31,195.31,1.10,-5.99,-7.00,-0.09,-51.81,30.87,-13.13,33.50,26.75,13.56,835.97
